edit_history_tweet_ids,text,author_id,id,created_at,Unnamed: 0,link,user,likes,quotes,retweets,comments,cleaned_text
['1907461725600833924'],"@kangminjlee @kangminjlee sound observation, but rather ahistorical. The root can’t be missed in the rot.  We’ve had centuries of patriarchy where men impregnated women and skipped on the responsibility. @elonmusk @realDonaldTrump model that in our highest powered positions in America. What",223362399.0,1.91e+18,2025-04-02T15:54:48.000Z,,,,,,,,sound observation rather ahistorical root cant missed rot weve centuries patriarchy men impregnated women skipped responsibility model highest powered positions america
['1907461634911858764'],They should take their mother’s last names. End the patriarchy! FFS! https://t.co/csXrlRajjn,1.7e+18,1.91e+18,2025-04-02T15:54:27.000Z,,,,,,,,take mothers last names end patriarchy ffs
['1907461019888455789'],"Who will save your sons n brothers ??

#GenderEquality #Mentoo #Misandry
#SaveMen #MensRights #MensLivesMatter
#fakecases  #498A #dowrylawmisuse #Feminism #toxicfeminism #feminazi 
#womanisaburden #crimebywomen #CrimeHasNoGender https://t.co/hCO3Bzsm3n",1.89e+18,1.91e+18,2025-04-02T15:52:00.000Z,,,,,,,,will save sons n brothers
['1907460794150978028'],"@ezhanyan Like the superiority you speak of is STRICTLY physical strength, and it’s not uniform. Everything else is just like, your opinion, man. 

Unless we’re talking about the patriarchy, cause yeah, women get shat on the most by it, tho we ain’t left out of that either.",1.5e+18,1.91e+18,2025-04-02T15:51:06.000Z,,,,,,,,like superiority speak strictly physical strength uniform everything else just like opinion man unless talking patriarchy cause yeah women get shat tho aint left either
['1907460793324462463'],"🤣🤣🤣
Seriously though, gender equality is some woke shit strictly for retrogressing civilizations. https://t.co/6BeuED978P",1.12e+18,1.91e+18,2025-04-02T15:51:06.000Z,,,,,,,,seriously though gender equality woke shit strictly retrogressing civilizations
,"gg stans are focked up, promoting women empowerment and no to bullying for ggs but it's okay for bgs. lol",,,,0.0,https://twitter.com/keunsosoon/status/1830872176972775588#m,‘,632.0,42.0,234.0,0.0,gg stans focked promoting women empowerment bullying ggs okay bgs lol
,Women empowerment in Islam,,,,1.0,https://twitter.com/dwivedi_ji12/status/1830911782149370028#m,Dwivedi ji,39.0,1.0,27.0,2.0,women empowerment islam
,"-She's Congress (former now) leader Simi Rose Bell John -A few days ago she exposed that couch exists in Kerala Congress. -Congress expelled her from the party saying she's abusive  Next time when Pappu talks about WOMEN & MINORITY empowerment, throw this on his face..",,,,2.0,https://twitter.com/MrSinha_/status/1830485031388848619#m,Mr Sinha,10690.0,50.0,4130.0,152.0,shes congress former now leader simi rose bell john days ago exposed couch exists kerala congress congress expelled party saying shes abusive next time pappu talks women minority empowerment throw face
,*WOMEN EMPOWERMENT IN lSLAM*  This Muslim woman's husband divorced her 6 times then made her do Halala 6 times.  He asked his friend to do Halala with her wife for ₹1000.  Disgusting creatures !!,,,,3.0,https://twitter.com/SaffronSunanda/status/1830874466353655896#m,Sunanda Roy 👑,998.0,9.0,508.0,27.0,women empowerment lslam muslim womans husband divorced times made halala times asked friend halala wife disgusting creatures
,#WomenInAgnipatha!  Breaking barriers and shattering stereotypes! The inclusion of women in the Agnipath scheme marks a new era of equality and empowerment in the armed forces.   #AgnipathScheme #WomenInUniform #Agnipath #GenderEquality #NayaJammuKashmir,,,,4.0,https://twitter.com/AkhtharShayia/status/1830921617989607448#m,Ulfat,4.0,0.0,2.0,0.0,breaking barriers shattering stereotypes inclusion women agnipath scheme marks new era equality empowerment armed forces
,"@NowheraOfficial laudable speech,immense dedication & courage has led her to reach were she is today.@rashtrapatibhvn @PMOIndia @TelanganaCMO @allindiamep @IndianWomenDxbb @KirenRijiju @WomenEmpowerment #JusticeForNowheraShaikh",,,,5.0,https://twitter.com/Shaikh73788768/status/1830934352953282577#m,Shaikh,6.0,0.0,6.0,0.0,laudable speechimmense dedication courage led reach today
,"👉🏽 #Security and #Empowerment as Justice  Tutku Ayhan (@IBEI) examines how #Yezidi women's experiences before, during, and after the 2014 #genocide have shaped their perceptions and demands for justice.  🔗 Published with Project Muse: https://bit.ly/3Z1WWZx",,,,6.0,https://twitter.com/IBEI/status/1830941600375083268#m,Institut Barcelona d'Estudis Internacionals,0.0,0.0,1.0,0.0,justice tutku ayhan examines womens experiences shaped perceptions demands justice published project muse
,Nevertheless she persisted Unisex Heavy Cotton Tee | Women empowerment shirt https://etsy.me/3XdpBbu via @Etsy,,,,7.0,https://twitter.com/Philspride_NY/status/1830942430922997999#m,Philspride,0.0,0.0,0.0,0.0,nevertheless persisted unisex heavy cotton tee women empowerment shirt via
,"Capturing resilience and tradition in every step. 🌍💧 This image speaks of strength, culture, and the daily journey of countless women around the world. #CulturalHeritage #Resilience #WomenEmpowerment #RuralLife",,,,8.0,https://twitter.com/SunilSiyag_/status/1830926519306461675#m,Sunil Siyag,9.0,0.0,5.0,8.0,capturing resilience tradition every step image speaks strength culture daily journey countless women around world
,A power made perfect in weakness  Unisex Heavy Cotton Tee | Women empowerment shirt https://etsy.me/3Xdpvk8 via @Etsy,,,,9.0,https://twitter.com/Philspride_NY/status/1830942355073180023#m,Philspride,0.0,0.0,0.0,0.0,power made perfect weakness unisex heavy cotton tee women empowerment shirt via
,Discovered strength in the broken places Unisex Heavy Cotton Tee | Women empowerment shirt https://etsy.me/4dLwYxD via @Etsy,,,,10.0,https://twitter.com/Philspride_NY/status/1830942326036013500#m,Philspride,0.0,0.0,0.0,0.0,discovered strength broken places unisex heavy cotton tee women empowerment shirt via
